Model,Accuracy,Precision,Recall,F1-score
LogisticRegression,0.904196157735086,0.35853658536585364,0.55893536121673,0.43684992570579495
DecisionTreeClassifier,0.7848837209302325,0.20717131474103587,0.7908745247148289,0.3283346487766377
SVC,0.8819514661274014,0.32105263157894737,0.6958174904942965,0.43937575030012005
GaussianNB,0.9552578361981799,0.7336956521739131,0.5133079847908745,0.6040268456375839
KNeighborsClassifier,0.8263397371081901,0.2369727047146402,0.7262357414448669,0.3573433115060804
RandomForestClassifier,0.8882709807886754,0.3530377668308703,0.8174904942965779,0.4931192660550459
