Model,Accuracy,Precision,Recall,F1-score,AUC
LogisticRegression,0.9440512301988541,0.5451807228915663,0.5,0.5216138328530259,0.5609551859692014
DecisionTreeClassifier,0.9014155712841254,0.34535367545076284,0.6878453038674033,0.4598337950138504,0.5448182885870121
SVC,0.9603977081226829,0.8944099378881988,0.39779005524861877,0.5506692160611855,0.5855107687311457
GaussianNB,0.952814290529154,0.6553030303030303,0.47790055248618785,0.5527156549520766,0.5020413896272155
KNeighborsClassifier,0.8560835861139198,0.25050709939148075,0.6823204419889503,0.3664688427299703,0.5466245030924977
RandomForestClassifier,0.884732052578362,0.325,0.8259668508287292,0.4664586583463339,0.642410254550704
