,Accuracy,Precision,Recall,F1-score,AUC
baggingDecisionTree,0.8592132505175983,0.8755186721991701,0.8473895582329317,0.8612244897959184,0.9302291800781392
baggingKNeighbors,0.8136645962732919,0.8803827751196173,0.7389558232931727,0.8034934497816594,0.8906357767012718
baggingRandomForest,0.8799171842650103,0.8930041152263375,0.8714859437751004,0.8821138211382114,0.9471649246793313
baggingXGBoost,0.8695652173913043,0.8907563025210085,0.8514056224899599,0.8706365503080082,0.9440421988482695
