,Accuracy,Precision,Recall,F1-score
LogisticRegression,0.9052118256629077,0.7202797202797203,0.10341365461847389,0.18086040386303776
DecisionTree,0.9325408920044702,0.8807339449541285,0.3855421686746988,0.5363128491620113
SVC,0.9003352636391344,1.0,0.015060240963855422,0.02967359050445104
GaussianNB,0.9017575942294016,0.5947712418300654,0.09136546184738956,0.15839860748476933
KNeighbors,1.0,1.0,1.0,1.0
RandomForest,0.9517423549730774,0.9887429643527205,0.5291164658634538,0.6893394375408763
NN,0.9517423549730774,0.9887429643527205,0.5291164658634538,0.6893394375408763
