False Positive Rate,True Positive Rate,Thresholds
0.0,0.0,2.0
0.0,0.008032128514056224,1.0
0.0,0.01606425702811245,0.998
0.0,0.024096385542168676,0.9969999999999999
0.0,0.040160642570281124,0.9950000000000001
0.0,0.060240963855421686,0.9920000000000002
0.0,0.07630522088353414,0.992
0.0,0.08032128514056225,0.991
0.0,0.08835341365461848,0.99
0.0,0.10441767068273092,0.9869999999999999
0.0,0.11244979919678715,0.986
0.0,0.1566265060240964,0.9730000000000001
0.0,0.1686746987951807,0.9720000000000001
0.0,0.18473895582329317,0.9699024390243902
0.0,0.1927710843373494,0.969
0.0,0.2289156626506024,0.9557809523809523
0.0,0.23694779116465864,0.9550000000000001
0.0,0.24497991967871485,0.953
0.0,0.25301204819277107,0.9490000000000001
0.0,0.27309236947791166,0.9359999999999999
0.0,0.2891566265060241,0.933
0.0,0.30120481927710846,0.9279999999999999
0.0,0.3172690763052209,0.925
0.0,0.3413654618473896,0.9107558551734585
0.0,0.3534136546184739,0.909
0.0,0.40160642570281124,0.8840000000000001
0.0,0.40963855421686746,0.884
0.0,0.42168674698795183,0.882
0.0,0.4578313253012048,0.866
0.0,0.46586345381526106,0.8630000000000001
0.0,0.46987951807228917,0.8628
0.0,0.4859437751004016,0.859
0.0,0.4979919678714859,0.8492474226804125
0.0,0.5100401606425703,0.849
0.0,0.5381526104417671,0.8357354978354978
0.0,0.5461847389558233,0.8230000000000001
0.0,0.5502008032128514,0.8219999999999998
0.004273504273504274,0.5502008032128514,0.8210000000000001
0.004273504273504274,0.5542168674698795,0.8209344262295082
0.008547008547008548,0.5542168674698795,0.817
0.008547008547008548,0.5662650602409639,0.8154914285714285
0.01282051282051282,0.5662650602409639,0.8098029782359679
0.01282051282051282,0.6385542168674698,0.757
0.021367521367521368,0.6385542168674698,0.752
0.021367521367521368,0.6465863453815262,0.7475000000000002
0.02564102564102564,0.6465863453815262,0.7449809523809524
0.02564102564102564,0.6666666666666666,0.7340000000000001
