Model,Accuracy,Precision,Recall,F1-score,AUC
LogisticRegression,0.923407482305359,0.44272445820433437,0.5375939849624061,0.48556876061120546,0.5759720473952209
DecisionTreeClassifier,0.7995449949443882,0.21878335112059766,0.7706766917293233,0.3408146300914381,0.5024398293117148
SVC,0.8935793731041456,0.34951456310679613,0.6766917293233082,0.46094750320102434,0.5414478476777383
GaussianNB,0.954752275025278,0.7514450867052023,0.48872180451127817,0.592255125284738,0.5318577161330218
KNeighborsClassifier,0.8308897876643074,0.24717691342534504,0.7406015037593985,0.37064910630291625,0.5119213035225192
RandomForestClassifier,0.8816986855409504,0.3441358024691358,0.8383458646616542,0.487964989059081,0.6486126994553549
