,Accuracy,Precision,Recall,F1-score
LogisticRegression,0.9340648176368993,0.8779956427015251,0.4046184738955823,0.5539518900343643
DecisionTree,0.9446307020217414,0.9344894026974951,0.48694779116465864,0.6402640264026404
SVC,0.9366046936909479,0.9471153846153846,0.39558232931726905,0.5580736543909348
GaussianNB,0.9309153713298791,0.8038461538461539,0.41967871485943775,0.5514511873350922
KNeighbors,0.9372142639439195,0.9073275862068966,0.4226907630522088,0.5767123287671233
RandomForest,0.9437163466422839,0.9804347826086957,0.4528112449799197,0.6195054945054945
NN,0.9437163466422839,0.9804347826086957,0.4528112449799197,0.6195054945054945
BotHunter,0.9701647875108412,0.8811881188118812,0.357429718875502,0.5085714285714286
BotHawk,0.9797825866097735,0.992583436341162,0.8062248995983936,0.8897506925207758
